en_clean,ar_clean
its okay let it pass as a favor,معلش امسحها فيا
spilling coffee is a good omen,دلق القهوة خير
cant good omens manifest in a shape other than spilled coffee,وهو الخير لازم يعلن عن وجوده بدلق القهوة؟
or do good omens have a grudge against caffeine,ولا الخير عنده ضغينة شخصية مع الكافيين؟
coffee doesnt spill by itself and its no good to blame good omens fortune or misfortune,القهوة مش بتدلق لوحدها، وميصحش نلوم الخير او الرزق او الحظ او حتي النحس
speaking of misfortune some accuse me of bringing misfortune,وعلي ذكر النحس، يتهمني بعض الناس اني انسان نحس
for example why is it that im the person who hates cardamom the most and yet i get the only cardamom seed in the pot,يعني علي سبيل المثال، انا اكتر واحد يكره الحبهان، وانا الحبهاناية الوحيدة اللي في الطبخة بتوقع في بوقي
it must be owing to my constant late arrival at dinner parties,ما هو اكيد علشان بوصل اي عزومة متاخر
the early bird catches the prey,واخر واحد بياخد منابه
a good reason,سبب وجيه
it is surely not because im cursed or jinxed as the absurd say,اكيد مش بسبب اني انسان عليا لعنة ولا مسحور ولا نحس زي ما السخفا بيقولوا
the only laws i believe in without needing scientific proof are those laid out by a famous engineer named murphy,القوانين الوحيدة اللي انا مومن بيها بدون اثبات علمي القوانين اللي حطها مهندس مشهور اسمه ميرفي
such as always expect the worst because that is what will happen,منها مثلا، توقع الاسوا لان هو ده اللي حيحصل
my life can easily be the only scientific proof of those laws,وسبب ايماني بيها هو حياتي كان يقدر ميرفي يستخدمها لاثبات قوانينه
similarly there are no demons or ghosts,وعلي نفس المنوال، مافيش حاجة اسمها عفاريت ولا اشباح
its bad enough that we undermine the breeze that moves the curtains and attribute it to some mythical monster,وحرام نسرق الحق المعنوي لشوية الهوا اللي حركت الستاير ونديه لوحش اسطوري
or undermine the rusty door hinges and the effort they invest in squeaking and say that a demon closed the door,او نسرق حق مفصلات الباب المصدية واجتهادها في التزييق ونقول ان اللي بيقفل الباب ده عفريت
we surely cannot undermine the street lamppost and tree leaves or doubt the physics of light and shadow and say that it is a ghostly presence,واكيد مش حنسرق حق عمود النور اللي في الشارع وورق الشجر ونشكك في قوانين النور والضل ونقول ده مثلا خيال شبح
as murphy set some laws dr refaat ismail laid out his own,وزي ما اخونا الافندي ميرفي حط قوانين دكتور رفعت اسماعيل برضو حط قوانينه
the first is that nature operates by the 1 1 2 law,واولهم ان الطبيعة ماشية بان زايد تساوي
cause and effect,اسباب بتودي لنتايج
anything outside of this equation is considered beyond natural,واي حاجة بتطلع برة المعادلة دي ماتبقاش من الطبيعة
there is nothing paranormal,ولا يوجد ما يسمي بما وراء الطبيعة
on regular days i wear my grey suit but since it is my 40th birthday and i hate this day i will wear my classy suit,في الايام العادية بالبس البدلة الرمادي، لكن بما ان ده عيد ميلادي الاربعين وبما اني باكره اليوم ده فهالبس بدلة المناسبات
the dark blue suit makes me extremely attractive,البدلة الكحلية التي تجعلني فاتنا
yes raeefa,ايوة يا رييفة
today im making lunch and howaida might join us,النهاردة الغدا عندي وهويدا احتمال تيجي
dont forget your ring,اياك تنسي تبلس الدبلة
are you wearing it or not,لابسها ولا؟
i like this girl and dont want her to run off,انا باحب البنت دي ومش عايزاها تطفش
if you genuinely like her youd be the first to advise her to run away from a dark destiny with me,لو بتحبيها فعلا هتكوني اول واحدة تنصحها تطفش من مصير مظلم منتظرها معايا
why not on another day raeefa,طب ما بلاش النهاردة يا رييفة
you know how much im not too fond of birthdays surprises cakes and candles,انت عارفة انا باكره اعياد الميلاد والمفاجيات والتورتة والشموع
what birthday,عيد ميلاد ايه بس؟
im not even thinking about that,ده ولا في دماغي
there is no cake and whatnot it is just a regular gathering,ولا في تورتة ولا في حاجة، قعدة عادية كده هوه
elham craved mulukhia so i cooked it with the kufta you love,الهام بس كان نفسها في شوية ملوخية قولت بقا اعملهالها واعمل معاها ايه الكفتة اللي انت بتحبها
imagine how delicious that would be,وشوف انت بقي يا حبيبي
what is it that you want,انت عايزة ايه انت كمان؟
please go out,اتفضلي من غير مطرود
i never decided to adopt you,انا عمري ما قررت اربيكي
i adopted you by force,انا مربيكي قهر
some people make your heart skip a beat even if you havent seen them for 15 years,هناك اشخاص رويتهم قادرة انها تلعب في دقات قلبك حتي لو ماشوفتهومش من سنة
maggie,ماجي
i know now why i had a hunch to wear my dark blue suit today,قد ايه كنت موفق في اختيار البدلة الكحلي النهاردة
you havent lost any of your honesty maggie,وانت ماخسترتيش صراحتك يا ماجي
do not invite her,اوعي تعزمها
raeefa will kill her,رييفة هتاكلها
im done preparing both courses,خلصت المحشي والشركسية
okay,ايوه
now we add some cardamom for the taste,ودلوقتي نحط الحبهان عشان الطعم
and listen i want you to quit being awkward with refaat,واسمعي بقا، عايزاكي تبطلي الخيبة اللي انت بتعمليها مع رفعت دي
i know my brother,ده اخويا وانا عارفاه
hes a bit of a dullard,يغرق في شبر مية
you have to loosen him up a bit,لحلحيه شوية
im not being awkward raeefa,انا مش خايبة يا ابلة رييفة
mr refaat is complex,هو ابيه رفعت مش مفهوم
i dont know what to do,انا مش عارفة اعمل معاه ايه
mister,ابيه؟
you add mister to your fiancs name,انت بتقولي علي خطيبك ابيه؟
you are awkward,تبقي خايبة
ive been calling him that since i was born,طب ما انا من ساعة ما اتولدت وانا بقوله يا ابيه
you were his little cousin,كنت بنت خالته العيلة
now youre his grownup fiance,انما انت دلوقتي شحطة، خطيبته
soon you will be his wife,قريب حتبقي مراته
spoil him a bit,دلعيه شوية
i bought him a necktie as a present,ما انا جيبت له هدية كرافتة
i will give it to him today,هديهاله النهاردة
look,بصي
good its better than the two wornout ones he has,كويس، بدل الاتنين المقيحين اللي بيبدل فيهم
mom i need to tell you something important,ماما انا عايز اقولك حاجة مهمة
what is it taha,عاوز ايه يا طه؟
yesterday i,انا امبارح
listen ask him whether he has eaten or not,اسمعي، اساليه كل؟ ماكلش؟
give him food and if he says enough give him more,اغرفي له طبيقه لو قالك خلاص حطي له كمان
i will,حاضر
i didnt touch it i swear,والله العظيم ما لمستها
you just got yourself a whipping i swear,والله العظيم لا اجي اقرصك من فخادك
youre going to get it taha,ماشي يا طه
did i add cardamom or not,انا حطيت حبهان ولا لا؟
cardamom adds a lovely scent,الحبهان بيدي ريحة حلوة اوي
taha,طه
taha,طه
where did that kid go,بيروح فين الواد ده؟
kids did any of you see taha,محدش شاف طه يا ولاد؟
peace be upon you,السلام عليكم
peace be upon you,عليكم السلام ورحمة الله
come in reda,اتفضل يا رضا
nice of you to drop by,خطوة عزيزة يا خويا يا الف مرحبا
how are you talaat,ازيك يا طلعت؟
come in,اتفضل
welcome,يا الف مرحبا
refaat hasnt arrived yet,رفعت لسه ماجاش
hes on his way here,علي وصول يا خويا
have a seat,اتفضل استريح
i beat him here even though i came all the way from mansoura,انا اللي جاي من المنصورة جيت قبله
i hope you had a safe trip,حمد الله علي السلامة يا اخويا
how are you raeefa,ايه يا رييفة؟
how are you reda,ازيك يا رضا؟
kids,بس يا ولاد
kids,بس يا ولاد
stop that enough,بس بس
i prepared your favorite food,عملالك الاكل اللي بتحبه
also i baked a cake,وعاملة تورتة
cake,تورتة؟
he asked me not to but he has no say in this,قالي ماتعمليهاش، بس هو بمزاجه؟ غصبن عنه
now ive seen everything,عشنا وشوفنا
taha,يا طه
hello the beautiful bridetobe,اهلا اهلا يا ست العرايس
hello,ازيك يا ابيه رضا؟
how are you,ازيك؟
how are you gorgeous,ازيك يا ست البنات؟
all good praise be to god,بخير، الحمد الله
where are medhat and elham,امال فين مدحت والهام؟
welcome come in,يا اهلا يا اهلا يا اهلا
here they are,اهم جم اهم
how are you reda,ازيك يا ابيه رضا؟
its so good to see you,منور الدنيا
by the way refaat is parked downstairs,علي فكرة رفعت بيركن عربيته تحت
i saw him,انا شوفته
happy birthday,سنة حلوة
whos she,مين دي؟
sorry for being late,اسف ع التاخير
who is she refaat,مين دي يا رفعت؟
thats what i was afraid of,ده اللي كنت خايف منه
raeefa started grinding her teeth,رييفة بدات تسن السكينة
sorry i was refaats classmate at the university,اسفة انا كنت زميلة رفعت في الجامعة
you speak good arabic,بترطني بالعربي
yes thank you,ايوة، شكرا
wow shes perfect god bless,بسم الله، ما شاء الله، كاملة الاوصاف
it is a pleasure to meet you,اهلا وسهلا بيكي
dr refaats guests are always welcome,يعني لو ضيفة دكتور رفعت اكيد تنورينا
this is my sister raeefa and this is talaat her husband,دي رييفة، وده طلعت جوزها
and this of course is reda my big brother,وده رضا طبعا اخويا الكبير
medhat is talaats brother and this is elham his wife,مدحت يبقي اخو طلعت ودي الهام مراته
by the way weve all been friends since childhood,احنا بالمناسبة كلنا اصدقاء من واحنا صغيرين
and this is howaida our relative and my fiance,ودي هويدا قريبتنا وخطيبتي
refaat is always busy due to his duties he forgets to wear the engagement ring,رفعت دايما دماغه مش فيه بسبب مشغولياته، فبينسي يلبس الدبلة
after grinding her teeth so well she decided to bite me,رييفة سنت السكينة تمام وبتدبها فيا انا
i thought i was wearing it,انا كنت فاكر اني لابسها
sorry i forgot,معلش، نسيت
it seems like you had a lot of fun back when you were at the university,شكلك كنت مبسوط اوي زمان في الكلية يا رفعت
allow me mr refaat,عنك يا ابيه
i will take it off so it doesnt,هات انا اعينهالك بدل ما تتوسخ
i mean refaat,قصدي يا رفعت
the necktie is a bizarre invention,الكرافتة دي اختراع عجيب
i understand shirts and jackets,يعني انا متفهم القيمص، الجاكت
they have jobs to do but what is this,ليهم ادوار، لكن دي ايه؟
a noose that we willingly wear,حبل مشنقة بنلبسه بارادتنا
thank you,شكرا
thank you howaida,شكرا يا هويدا
thank you,شكرا
thats close enough thank you,تسلم ايدك خلاص هو قريب خلاص، شكرا
enough,كفاية
im sorry,انا اسفة
its okay,معلش، معلش
im sorry,انا اسفة
its okay,معلش، معلش
isnt it appropriate to return to the countryside to check on your mother,مش الاصول يا رفعت تخطف رجليك وتطمن علي امك في البلد؟
you last set foot there two months ago,ده انت بقالك شهرين ماعتبتش البلد
i will hopefully,هاجي ان شاء لله
will you,هاجي؟
pass me the lemon talaat,هات لمون يا طلعت
murphys fourth law,قانون ميرفي رقم اربعة
that which you try to avoid the most will happen to you among all people,اكتر حاجة بتحاول تتجنبها حتسيب كل الناس وتحصل لك انت
may i be excused,معلش، بالاذن انا
im going to smoke a cigarette on the balcony,هاشرب سيجارة في الفرندة
taha,طه
take this half of a reyal and get me a pack of cigarettes,خد النص ريال ده وروح اشتري لي علبة دخان
i dont want to go down the stairs alone,انا مش عايز انزل ع السلم لوحدي
you can keep the change and buy yourself some candy,هديك الباقي تجيب بيه ملبس
how lovely it is for you to drop by ms maggie,نورتينا والله يا استاذة ماجي
you know i know all of refaats secrets,تعرفي؟ رفعت ده اسراره كلها عندي
i have some pictures to show you of him as a kid,ده انا عندي ليه كمية صور، كان صغير كده
he was always balbous,كان بلبوص
balbous,بلبوص؟
around a foreign woman egyptian men always pretend to know all languages,حط اي راجل مصري في محيط ست اجنبية وهيطلع بيتكلم خمس لغات
dont be deceived by refaats looks now,مايغركيش شكل رفعت دلوقتي
he was a real charmer,ده كان دونجوان
do you know who is his first love,عارفة مين اول واحدة حبها؟
the grape leaves taste amazing raeefa,ورق العنب تحفة يا رييفة
you know the first person in history to roll grape leaves,انت عارفين اول واحد يلف الورق ده تاريخيا يعني
dont even try refaat,ماتحاولش يا رفعت
have some water,اشرب اشرب
enough with this folks,قفلوا ع السيرة دي يا جماعة
shiraz,شيراز
whos shiraz,مين شيراز؟
whos shiraz,مين شيراز؟
its an air raid,غارة
everyone to the basement,كله علي البدروم
ready or not,خلاويص؟
where are the kids,يا ولاد الولاد فين؟
ready or not,خلاويص؟
not yet,لسه
not yet,لسه
ready or not,خلاويص؟
not yet,لسه
not yet,لسه
ready or not,خلاويص؟
not yet,لسه
not yet,لسه
safety,امة
safety,امة
safety,امة
you lost refaat,خسرت يا رفعت
i stood still so that you could catch me,انا فضلت وقفالك عشان تمسكني
raeefa refaat never caught anyone,يا رييفة، رفعت عمره ما مسك حد
its a stupid game medhat,دي لعبة غبية يا مدحت
how can you find what you cannot see,ازاي حنلاقي حاجة احنا مش شايفينها؟
is the game stupid,اللعبة اللي غبية برضو؟
its okay medhat,خلاص، يا مدحت
talaat will count,طلعت اللي هيغمي
hide with them refaat,استخبي يا رفعت انت معاهم
but i never,بس انا
go and count talaat,استغمي يا طلعت
ready or not,خلاويص؟
not yet,لسه
not yet,لسه
ready or not,خلاويص؟
not yet,لسه
not yet,لسه
ready or not,خلاويص؟
ready or not,خلاويص؟
wheres refaat,اومال فين رفعت؟
refaat,يا رفعت
oh my,ايه ده
refaat is at the al khadrawy house,رفعت عند بيت الخضراوي
of all the houses here he picked that one,يعني رفعت مش لاقي الا بيت الخضراوي ويجي عنده
if reda finds out well all be in trouble,لو رضا عرف يا رييفة مش هيحصل خير
who are you,انتو مين؟
how long have you been living here,وسكنتوا هنا من امتي؟
im shiraz,انا شيراز
would you like to play with me,تحبوا تلعبوا معايا؟
god help us,استرها يارب
easy elham,علي مهلك يا الهام
im a guest of god a guest of god is not to be treated unjustly,انا ضيف الله وضيف الله لا يضام
quickly move it,بسرعة بسرعة
im a guest of god a guest of god is not to be treated unjustly,اصبحت ضيف الله وضيف الله لا يضام
god help us,يلا، ربنا يستر
easy kids,يالا، بالراحة
careful,علي مهلكم يا ولاد
look ahead,بصوا قدامكم
watch your step elham,علي مهلك
watch your step,علي مهلك
are you all here kids,كلكم هنا يا ولاد؟
mom tahas not here,يا ماما، طه مش هنا
what hes not here,مش ايه؟
what,مش هنا امال فين؟
where is he then taha,امال طه فين؟ يا طه
wheres taha,طه فين؟
taha,طه
taha,طه
wheres taha,طه فين؟
i sent him to buy me cigarettes,انا بعته يجيب دخان
what,ايه؟
what,ايه؟
you sent him to buy you cigarettes,بعته يجيب دخان؟
i will go look for him,انا هاروح ادور عليه
thats genius,فالح، فالح يا خويا
where are you going,تروح فين؟ تروح فين؟
youll only make things worse,هتنيل الدنيا اكتر ما هي متنيلة بطين علي دماغنا
ill go,انا اللي هروح
ill go ill look for him at the store,هروح اشوفه في ريح الدكان
give me this,هاتي الكلوب ده
god have mercy,لا حول ولا قوة الا بالله
god have mercy,يا حول الله يارب
turn the lights off,طفو النور
turn the lights off,طفو النور
taha,يا طه
what was that,ايه ده؟
taha must be upstairs,ده تلاقيه طه فوق
lets go look for him,تعالوا نطلع نشوفه
elham howaida watch the kids,الهام، هويدا، خلوا بالكم من العيال
okay,حاضر
and you stay here,وانت، خليكي هنا
give me that,هاتي، هاتي
lets go,يالا
come in,اتفضلوا
come and drink,تعالوا اشربوا تعالوا
quiet,ماتعملوش دوشة
mom doesnt like noise,ماما مش بتحب الدوشة
quiet grandpa doesnt like the noise either,هشش وجدو كمان مش بيحب الدوشة
come in,اتفضلوا
wait for me here,استنوني هنا
i dont feel safe,انا مش مطمنة
lets leave this place,تعالوا نمشي
this house feels scary,البيت ده شكله، بسم الله الرحمن الرحيم
elham we just saw how normal this house is,يا الهام، احنا شوفناه انه بيت عادي
or are you jealous of that girl because shes pretty,ولا انتم غيرانين علشان البنت حلوة؟
envious,غيرانين؟
shes clumsy and she looks weird,دي حتي وحشة وشبه لوح التلج
dig in we have juice and jelly,اتفضلوا معايا، عصير وجيلي
why those colors,ايه الالوان دي؟
its because we make them from our own fruits,ايوة، اصل احنا بنعملهم بالفاكهة بتاعتنا
can you come here and play with me every day,ممكن تيجوا تلعبوا هنا معايا كل يوم؟
listen to me howaida,اسمعي مني يا هويدا
dont listen to raeefa,ماتسمعيش كلام رييفة
the way to a mans heart is not through his stomach,الطريق لقلب الراجل مش معدته
the way to a mans heart is through his behind,الطريق لقلب الراجل قفاه
the more you slap that behind the more hell fall for you,كل ما تدي له علي قفاه اكتر يقع في غرامك
dear god,يالهوي يا ابلة الهام
how is it right to slap refaat on his behind,يعني يصح برضو ادي لابيه رفعت علي قفال؟
keep your voice down shes an arashana and she speaks arabic,وطي حسك لحسن دي قرشانة وبتفهم عربي
what does arashana mean,معناها ايه قرشانة؟
it means pretty woman just like you,يعني ست حلوة، زيك كده
i will look for him at elhams,انا هدو ر عليه في شقة الهام
maybe he hid there,يمكن استخبي هناك
come with me talaat,تعالي معايا يا طلعت
and you refaat look for him at my flat,وانت يا رفعت دور عليه في شقتي
ready or not,خلاويص؟
ready or not,خلاويص؟
ready or not,خلاويص؟
ready or not,خلاويص؟
safety,امة
safety,امة
safety,امة
i caught you,مسكتك
shiraz do you pick easy spots so i can catch you,شيراز، هو انت بتستخبي في حتت سهلة عشان اعرف امسكك؟
i make it easier for you so they wont make fun of you,طب زي ما انا بخليك تمسكني عشان مايتمسخروش عليك
what would you do for me in return,انت بقي هتعملي ايه؟
just ask,اطلبي انت بس
what should i ask for,اطلب ايه؟
i want those berries up on the tree,عايزة توت من فوق الشجرة
are those berries,ايه ده، هو ده توت؟
yes we call them berries,اه، احنا بنسميه توت
shiraz i love you,شيراز، انا باحبك
youre so funny,انت بتضحك اوي
i will tell them,انا دلوقتي هروح اقولهم
shiraz wait,شيراز، استني
hey,الحقوا
listen to this,الحقوا
refaat said he loves me,رفعت بيقول انه بيحبني
taha,طه
taha,طه
taha,طه
arashana,قرشانة؟ يعني
i dont know how to translate this,مش عارف اترجمها ازاي دي
am i an arashana,انا قرشانة؟
no on the contrary,لا، خالص
i didnt know that you were engaged,ماكنتش عارفة انك خاطب
congratulations,مبروك
taha,طه
i didnt expect that you could get engaged and express your feelings,ماكنت فاكرة رفعت ممكن يخطب ويعبر عن حبه
do you know how to say romantic things,انت تعرف تقولها كلام حب؟
or do you just say the opposite of how you feel,او بتقول عكس اللي جواك؟
like back in the day,زي زمان
do i say the opposite of how i feel,انا بقول عكس اللي جوايا؟
yes,اه
sometimes when you are silent im sure youre killing us in your head,في اوقات بتبقي ساكت وانا متاكدة انك بتقتلنا كلنا في عقلك
that is true,ده حقيقي
thats not true,مش حقيقي
youre the only one id spare,بس هسيبك انت بس اللي تعيشي يا ماجي
taha,يا طه
taha,طه
taha,طه
if reda asks as usual just say we were playing near the canal,لو رضا سال هنقول زي كل مرة ان احنا بنلعب عند الترعة
im not going to lie,لا انا مش هكدب
you are cowards and too sensitive because you are girls,انتم بس علشان بنات قلبكم رهيف وجبنا
youre stupid,انتم اللي اغبية
that girl is not normal,البنت دي مش طبيعية
and if anyone asks i will tell the truth,ولو حد سالني انا هقول الحقيقة
raeefa is right,رييفة كلامها صح
well never come back here and keep it a secret,احنا مش هنروح المكان ده تاني كلنا، ومحدش يتكلم
dont cry,ماتعيطيش
im here with you,انا معاكي اهو
everyone hates and abandons me,كل الناس بيكرهوني وبيسيبوني
im not abandoning you ill always be by your side,انا مش هسيبك وهفضل جنبك علي طول
if youre willing to stay by my side forever will you do as i ask,طب لو مستعد تفضل معايا علي طول، تعمل اللي انا اقولك عليك؟
we will play a game that will always keep you by my side,هنلعب لعبة هتخليك معايا علي طول
hide and seek,استغماية؟
yes something like that,اه حاجة زي كده
ready or not,خلاويص؟
ready or not,خلاويص؟
ready or not,خلاويص؟
shiraz,شيراز
shiraz,شيراز
shiraz,شيراز
shiraz,شيراز
shiraz,شيراز
reda,رضا
reda,رضا
reda,رضا
refaat went to the al khadrawy house by himself and hasnt returned,رفعت راح لبيت الخضراوي لوحده ولسه مارجعش
im worried about him,انا خايفة عليه
what,ايه؟
what made him go there,وايه اللي وداه هناك؟
we didnt go there,اصل احنا روحنا
not now,مش وقته
whats important is that we find refaat,المهم نلحق رفعت
im worried about him,انا خايفة عليه
shiraz,شيراز
refaat,رفعت
refaat,رفعت
refaat,رفعت
refaat,رفعت
refaat,رفعت
why does the estate look like this now,هو البيت بقي عامل كده ليه؟
refaat,رفعت
refaat,رفعت
refaat,رفعت
well done,برافو عليك
youve found me,لقيتني
you won,انت اللي كسبت
get up on the railing and jump to reach me,اطلع ع السور يا رفعت ونط لي
the roof,السطح
the house looks weird now,البيت بقي شكله غريب
i saw strange people downstairs,انا شوفت ناس غريبة تحت
i see them too,انا برضو بشوفهم
theyre not real,دول مش حقيقيين
theyre inside our heads,دول في دماغنا احنا بس
if you jump and reach me you will never see them again and well stay together,لو نطيت وبقيت معايا هنا مش هتشوفهم تاني، وهنبقي مع بعض
dont you want us to be together,مش انت عايز نبقي مع بعض؟
refaat,رفعت
come down refaat,انزل يا رفعت
come down refaat,انزل يا رفعت
step back from the railing,ماتقفش ع السور
be careful not to fall,خد بالك لتقع
forget about them,ملكش دعوة بيهم
jump refaat,نط يا رفعت
dont be scared,ماتخفش
ill catch you,انا همسكك
death,موت
get up and come here,قوم، فز، تعالي
come here all of you,تعالوا كلوكو
swear by this quran that youll never go back near that estate,تحلفوا ع المصحف ده انكم مش هتقربوا ناحية بيت الخضراوي تاني
that house is not what you think,البيت ده مش زي ما انتم فاكرين
you live the good life clueless to everything,انتم قاعدين في البندر ومش دريانين
do you know how many families lived in that estate after it burned down,انت عارف كام واحد سكن في الدار دي بعد ما اتحرقت؟
do you know what happened to them,عارفين حصلهم ايه كمان؟
they all died,كلهم ماتوا
some committed suicide some burned to death and one woman killed her kids,اللي انتحر واللي اتحرق واللي قتلت عيالها
repeat after me,قولوا ورايا
we swear not to go near the al khadrawy house again,والله ما هنقرب ناحية بيت الخضراوي تاني
we swear not to go near the al khadrawy house again,والله ما هنقرب ناحية بيت الخضراوي تاني
come here,تعالوا
stay here,اترزع هنا
if i see you outside taha your day will only worsen,ولو شوفتك برة يا طه، يومك مش هيعدي
i will deal with you when our guests leave,اصبر عليا لما الناس تمشي
are you happy now,عاجبكم اللي حصل ده؟
she showed up because we talked about her,اهي جت ع السيرة
tell me,احكي لي بقا
what happened,ايه اللي حصل؟
the same thing happened to you in the past right refaat,نفس اللي حصلك زمان يا رفعت، هه؟
who showed up,هي مين دي اللي جت؟
raeefa nothing happened,رييفة، محصلش حاجة
enough with that story,خلاص، غيروا السيرة دي
the boy was scared and he might have hallucinated,تلاقي الواد خايف وبيخطرف
so whats for dessert,طب ايه، فين الحلو؟
eat this,ابقي كل دي
but dont tell your mom that i got this for you,بس ماتقولش لامك ان انا جيبت لك حاجة
dont be sad,متزعلش
i should have never sent you out,انا مكنش المفروض ابعتك
its my fault,انا السبب
its not your fault,لا مش انت
i saw her yesterday,انا شوفتها امبارح
i was afraid that i might see her again downstairs,وكنت خايف انزل اشوفها تاني
who did you see,شوفت مين؟
a strangelooking little girl,بنت صغيرة شكلها غريب
she wore a white dress and looked like a demon,لابسة فستان ابيض وشكلها عفريتة
i see her too,طب ما انا كمان بشوفها
really,فعلا؟
i see other things too,وبشوف حاجات تانية
for example,مثلا
next to that dressing table i see a demon lady,عند التسريحة اللي هناك دي، انا شايف امنا الغولة
how are you demon lady,ازيك يا امنا الغولة؟
i hope youre all right,ان شاء الله تكوني بخير
really,كده؟
okay,طيب
where,فين؟
and next to that stand i see the skinnedleg monster,وعند الشماعة اللي هناك دي، انا شايف ابو رجل مسلوخة
how are you skinnedleg monster,ازيك يا ابو رجل مسلوخة؟
hows the leg,رجلك عاملة ايه؟
are you still using creams regularly,ماشيين ع المراهم؟
great,طب عظيم، عظيم
where,فين؟
next to that curtain as well i see that girl,وعند الستارة اللي هناك دي انا شايف البنت اياها
but i dont see her with my eyes,بس مش عيني اللي بتشوف
i see her with my mind,ده اللي بيشوف
and since the mind doesnt see you shouldnt fear it,وعلشان ده مايشوفش لازم ماتخفش منه
what do you mean,يعني ايه؟
it means that you have to humor your mind,يعني تاخد عقلك علي قد عقله
your uncle does that and it greatly helps me,خالك بيعمل كده، والموضوع ماشي معايا كويس
uncle,خالو
why did you wash down the writing on the wall,انت ليه مسحت الكلام اللي كان مكتوب ع الحيطة؟
thank you for the cigarettes taha,شكرا ع السجاير يا طه
dont smoke when you grow up because these are worse than demons,ودي اوعي تشربها لما تكبر علشان دي اسوء من العفاريت
i like to ride in the back,انا باحب اركب ورا
you can sit at the front,ممكن تركبي قدام
im sorry,معلش
we couldnt have a word together today,ماعرفناش نقعد مع بعض النهاردة
you saw how hectic it was,اديكي شوفتي الدربكة
im not upset,انا مش زعلانة
can i just tell you one thing before you head out,ممكن بس اقولك علي حاجة قبل ما اطلع؟
go ahead,اتفضلي
i really loved the gift you got me last week,انا حبيت اوي الهدية اللي انت جيبتهالي الاسبوع اللي فات
raeefa bought it,اكيد رييفة اللي جابتها
i wanted to give you something in return,قولت اردهالك
i got you a tie but i didnt know that you hate ties,جيبتلك كرافتة بس ماكنتش اعرف ان انت مبتحبش الكرفتات
i wont give it to you anymore,مش هديهالك وهجيبلك حاجة تانية
on the contrary it was just a joke,لا بالعكس، دي كانت مجرد دعابة
i want my gift please,من فضلك، انا عايز الهدية بتاعتي
here you go,اتفضل
green,اخضر
now i have to wear a green tie every time i see her,دلوقتي كل مرة اشوفها لازم البس كرافتة خضرا
it looks great,دي رايعة
i promise that from now on i will love neckties,اوعدك اني من النهاردة هاحب الكرفتات
good night,تصبح علي خير
good night,وانت من اهله
if i came to egypt just to see that it would be totally enough for me,لو جيت مصر علشان اشوف المشهد ده، كفاية عليا
so your first love was a ghost,حبك الاول كان شبح؟
youre from scotland and you believe in ghosts,من اسكتلندا ومصدقة ان في اشباح؟
if that story never happened how did your brother break his leg,لو القصة دي ماحصلت، ازاي اخوك كسر رجله؟
i cant remember,مش فاكر
it was a long time ago,ده زمان
it must be when we used to play up on the roof,اكيد من لعبنا فوق السطح
it was an abandoned house with a bad reputation and we played there,بصي ده كان بيت مهجور وعليه سمعة واحنا كنا بنلعب فيه
we made up that shiraz story and everyone believed it because it was entertaining,واختلقنا قصة شيراز دي وكلهم صدقوها طبعا لانها قصة مسلية
and you all remember that in detail,وكلكم فاكرينها بالتفصيل؟
maggie all myths start like that just like a virus,ماجي، كل الاساطير بتبدا كده، زي الفيروس
someone tells a story and repeats it it starts going around,بيحكيه انسان ويكرره، بعدين يتنقل
then the story turns into an invented memory,وبعدين يتحول الي ذكري مختلقة
then it becomes a part of history that cannot be questioned,بعدين يبقي تاريخ معترف بيه لا يمكن نعانده
and no one wants to believe that it never happened,والكل يرفض يصدق انه محصلش
or you refuse to believe that they happened,او انت رافض تصدق انها حصلت
by the way,علي فكرة
maggie i dont say the opposite of how i feel,ماجي، انا مش باقول عكس اللي جوايا
obviously what i said upset you,واضح ان كلامي زعلك
or maybe i do say the opposite of what i think,او يمكن بقول عكس اللي بفكر فيه
i dont know,مش عارف
maybe because what i think of cannot be said,يمكن علشان اللي بفكر فيه مايصحش يتقال
maybe if you say it it turns out correct,يمكن لو قولته يطلع يصح
by the way i got you something for your birthday,علي فكرة انا جيبت حاجة معايا، هدية لعيد ميلادك
did you remember my birthday,انت كنت فاكراه؟
the only photo of us together when we were students,الصورة الوحيدة لينا من ايام الدراسة
i saw it and took it without telling you,كنت شوفتها معاك وخدتها من غير ماقولك
and i was upset that i lost it,وانا للي كنت زعلان اني ضيعتها
i didnt tell your family but i learned arabic because i liked the poem written on the back,انا ماقولتش لعيلتك، بس انا اتعلمت العربي علشان حبيت الشعر اللي مكتوب وراها
it was a lovely evening,كانت ليلة لطيفة
i will never stop loving you maggie,لن اتوقف عن حبك يا ماجي
until stars burn out and worlds disappear,حتي تحترق النجوم وتفني العوالم
until planets collide and the suns wither,وحتي تتصادم الكواكب وتذبل الشموس
until the moon is dim,وحتي ينطفا القمر
and all seas and rivers are dry,وتجف البحار والانهار
until i am old and my memories fade,وحتي اشيخ فتتاكل ذكرياتي
until my tongue is no longer capable of saying your name,حتي يعجز لساني عن لفظ اسمك
until my heart beats for the last time,حتي ينبض قلبي للمرة الاخيرة
only then might i stop,فقط عند ذلك، ربما اتوقف
i might,ربما
refaats fifth law,قانون رفعت رقم خمسة
if your mind tries to trick you humor it,لو عقلك لاعبك خده علي قد عقله
you do not exist shiraz,انت مش موجودة يا شيراز
you dont exist,مش موجودة
