EGY,ENG
‫لا لا دي روح البيت، دي عاملة دوشة وونس.‬,"No, she brings joy and happiness."
‫لا، ده إحنا محتاجينها، محتاجينها‬ ‫اليومين دول ونادية محتاجلها زيادة.‬ ,"We need her right now, especially Nadia."
‫من فضلك، ابعتها كتير اليومين دول.‬,Please send her over.
‫أنا أصلًا كنت عايزة‬ ‫أقترح على حضرتك,I wanted to run something by you. 
هما فين؟‬,Where are they?
‫كنت عايزة أقترح على حضرتك إنه نشترك‬ ‫في الباص للولاد‬.,Why don't we enroll the kids on the school bus?
‫علشان أنا ابتديت شغل جديد.‬ ,I've started a new job.
‫فمش هعرف يعني أوصلهم وأوديهم وأجيبهم.,I can't drive them to school anymore.
‫ما هو ده شغلي بقى‬,This is what I do.
‫بقيت بعمل كريمات naturally organic ‫مية في المية في البيت‬. ‫صناعة مصرية منزلية الصنع.‬,"I make organic, natural creams, 100% Egyptian, homemade."
‫هاي يا علا.‬,"Hi, Ola."
هاي يا جميلة.‬,"Hi, beautiful."
عاملة إيه؟ ,How are you?
دي الكريمات؟‬,Are these the samples?
‫أه. ,Yes. 
هي دي الكريمات.‬,These are the creams.
‫شوفت يا دكتور مروان؟‬,"See, Dr. Marwan?"
‫علا بتصالحنا بقى‬ ‫بأن هي جايبلنا كريمات غالية جدًا لسه واصلة من دبي.‬,Ola is making peace with us by giving us expensive creams straight from Dubai.
‫أه أه. دبي. دبي.‬,"Yes, Dubai."
‫على فكرة أنا سامع عن الكريم ده.‬,"Yes, I heard about them."
‫بيقولوا هيعمل ثورة‬ ‫في عالم الcosmatics.‬,It will revolutionize the cosmetics industry.
‫كأنه معمول في البيت كدا بعناية وحب.‬,"As if they're homemade, made with love and care."
‫أه، كويس أوي.‬,Very good.
‫يلا أنا لازم أطير على المستشفى.‬,I have to run to the hospital.
يلا باي,Bye.
باي باي,Bye.
‫وريني بقى.‬,Show me!
‫هوريكم حالًا، بصوا بقى هوريكم حاجات.‬,I'll show you a lot of things.
‫بصوا هو طبعًا لسه مش مسمى وكدا،‬ ‫عشان هما بيجربوا مش عايزين الناس‬ ‫تسرق منهم الأفكار وكدا.,It's still unlabeled and still in the trial phase. They want to protect their brand.
‫بس هما اختاروا category معينة‬ ‫كدا في مصر‬ ‫عشان يدخلوا بقى بقوة. ,They've selected a category in Egypt. They want to take over the market.
وإنتوا محظوظين أوي.‬,
‫أنا قولتلهم هما صحباتي دول.‬,I told them you were my friends.
‫يعني هما دول محظوظين. محظوظين.‬,You're very lucky.
‫بصوا أنا كل اللي أنا هطلبه منكم‬ ‫إن أنتو تملوا الاستطلاع ده‬ ‫بعد ما تجربوا بقى على وشكم وبتاع،‬ ‫في للأيد وفي للوش. ,All I want from you is to fill out this survey after you try the creams on your face and hands after you try the creams on your faces and hands.
‫بصوا أنا هاخدها منكم بكرة الصبح.‬,I'll collect them in the morning.
‫ولا أقولكم لا استنوا ‫مش أنا خلاص اشتركت لـسليم في الكرة.‬,"On second thought, I enrolled Salim in the football team. "
‫لا، no way!,No way!
أيوة كدا بقى.‬,Well done!
‫ده إحنا كدا نخليكي عضو عامل في المجموعة.‬,We'll promote you to group admin.
‫عضو عامل مرة واحدة؟‬,"A group admin, no less?"
‫لا مش مصدقة! ,I can't believe it.
براحة عليا براحة عليا.‬,Go easy on me!
‫طبعًا.‬,Of course.
يلا، باي,Bye
باي,Bye
‫مش صح كدا؟‬,Is this correct?
‫أيوة. ,Yes.
طب ودي إيه؟‬,And this one?
برافو يا ليمو! ,"Well done, Lemo!"
هو فين؟‬,Where's he?
‫هو إنتي مش شايفاه؟ ,Can you not see him?
أمال بتشجعيه على إيه؟‬,"Why cheer him, then?"
‫بشجع عادي.‬,I'm just cheering.
‫برافو يا ليمو!‬,"Good job, Lemo."
‫سليم!‬,Selim!
‫أسرع شوية! اتحرك!‬,Move faster.
‫الله! ما هو بيتحرك أهو،‬ ‫وبعدين هو اسمه سَليم مش سِليم.‬,"He's moving, and his name is Salim!"
‫لا هو مش قريبنا هنصلحله سَليم ومش…‬,You can't correct everyone.
‫لا لازم لازم أصلحله.‬,"No, I have to."
‫مش عاجبني الكوتش ده، أنا هغيره.‬,We have to change the coach.
‫غيّر التيشيرت وألبس‬ الgoalkeeper، يلا بسرعة.‬,Go and change into the goalkeeper's gear.
‫ليه goalkeeper؟‬,Why goalkeeper?
‫لا لا ثانية واحدة.‬,Wait a second.
ليه goalkeeper؟,Why goalkeeper?
‫خليه يلعب شوية كدا هيكره اللعبة.‬,He'll hate the game.
‫هو لسه هيكرها؟‬,He doesn't hate it already?
‫أه.‬,Yes.
‫واضح جدًا إنه ملوش فيها.‬,It's obvious he's not into it.
‫أنصح حضرتك تشوفيله حاجة تانية يعملها.‬,Find him a different sport.
‫لا سيبهولي أنا اللي هضربه بقى.‬,"No, let me hit him."
‫لا لا، ضرب لا.‬,No hitting.
‫لا يا كابتن تعالى. ,"Come here, Coach. "
أقولك بس، في إيه؟‬,Listen up.
‫في أمهات والمكان لبش.‬,All the mothers are here.
‫مش عايزة مشاكل، أبوس إيدك يا نسرين.‬,"Please, Nesrine. Don't make a scene."
‫شايفة بيتكلم عليه إزاي؟‬,
‫حبيبة قلبي، اهدي.‬,Calm down.
‫إيه يا علا؟‬,"Hey, Ola!"
هاي,Hi
‫هو ده اللي بتصالحينا؟‬,That's how you make peace?
‫شايفة الست وشها باظ إزاي‬ ‫بسبب الكريمات بتاعتك؟ ,See what your cream did to her face. 
إتفضلي.‬,Here!
‫لا، لا يمكن.‬,Impossible.
‫يا لهوي!‬,Oh God!
‫أهو، إتفضلي.‬,See for yourself.
‫مش شايفة وشي عامل إزاي؟‬,Look at my face.
‫لا يمكن يبقى بسبب الكريمات بتاعتي…‬,No way my creams do that 
لا يمكن إيه. أهو، شايفة؟‬,Can't you see?
‫دبي بيحطوا مستخلصات طبيعية.‬ ,"In Dubai, they use natural extracts."
مفيش حساسية من المستخلصات الطبيعية ‬‫إلا نادر أوي.‬,She can't have had an allergic reaction except in rare cases.
‫أمال ده إيه؟‬,What do you call this?
‫إنتي شايفة إيه؟‬,
‫إنتي عندك حساسية من النعناع؟‬,Are you allergic to mint?
‫معرفش ومجربتش.‬,I don't know. I haven't tried it.
‫لا كان لازم تجربي،‬ ‫كان لازم تجربي حتة صغيرة معروفة يعني.‬,You should've tried it on a small area first.
‫لا لا مش وقت ناكلهم خالص.‬,It's not time to bully them.
‫دلوقتي وقت الاعتذار.‬,It's time to apologize.
‫الاعتذار؟‬,Apologize?
‫أه.‬,Yes.
‫أنا آسفة جدًا. ,I'm really sorry.
أنا اللي كان مفروض فعلًا‬ ‫أقولكم كلكم تعملوا اختبار حساسية،‬ ‫معلش بس التعب، معلش.‬,I should've asked you to do an allergy test. I was tired.
‫أنا اللي هتكفل بكل حاجة العلاج…‬,I'll cover the treatment.
‫مش قولتلك مش عايز ألعب كرة؟‬,I told you I don't like football.
‫وحشتني الطبيعة.‬,I miss nature.
‫حياتي كلها بقت أرقام في أرقام.‬,My life has become nothing but figures.
‫متشكر إنك رجعتيني للessentials.‬,Thanks for bringing me back to the essentials.
‫وطبعًا نسيتي اختبار الحساسية.‬,"Of course, you forgot about the allergy test."
‫لازم تحددي أولوياتك.‬,You have to set your priorities.
‫بس الbusiness plan كويس.‬,The business plan is good.
‫بجد؟‬,Really?
‫اخترتي الاسم؟‬,Did you find a name?
‫أنا محتارة. ,I'm not sure.
هو لازم يعني يبقى فرعوني الاسم؟‬,Does it have to be ancient Egyptian?
‫لا، مفيش أي حاجة لازم.‬,"No, there's no rules."
‫امشي ورا إحساسك. follow your gut feeling.‬,Follow your gut feeling.
‫الإيه؟‬,What?
‫your gut feeling. يعني حاجة زي استفتي قلبك.‬,"Something like, ""Follow your heart."""
‫عارفاها دي؟‬,You know that one?
‫أيوة، دي عارفاها.‬,Yes.
‫أه، أيوة،‬ ‫أنا كدا ابتديت أعرف المكان.‬,"Now, I recognize the place."
‫بس؟ بس يا أم ريهام؟‬,"That's it, Um Riham?"
‫شيلي يا أم ريهام. شيليه.‬,Take it away.
‫فين أم ريهام بتاعة زمان؟‬,What happened to you?
‫كنتي ملكة productive.‬,You used to be the most productive.
‫يلا، خدي يا أم ريهام.‬,"Here, Um Riham."
‫ده بقية حسابك.‬,The rest of your wage.
‫أنا بدور على أم سيد.‬,I'm looking for Um Sayyed.
‫شوفي أي مزرعة local‬ ‫واشتغلي فيها.‬,Find work at some local farm!
‫على رأي المثل,As the saying goes.
‫سلام عليكم.‬,Hello
‫لو سمحتي، الست أم سيد,I'm looking for Um Sayyed.
‫مين دول؟‬,Who are they?
‫الست اللي هي بتشتغل في الأرض هنا.‬,She works here.
‫متعرفيش أم سيد إزاي؟,How come you don't know her?
دي هي,
‫لو سمحت؟‬,Excuse me?
‫سلام عليكم.‬,Peace be upon you.
‫وعليكم السلام ورحمة الله.‬,"And upon you, too."
‫إرماس. ,Hermes.
‫إيه ده! صح. برافو,"Yes, you're right."
‫سوفاج ديور.‬,"Sauvage, Dior."
‫مظبوط. impressive.‬,You got it. Impressive.
‫قربي.‬,Come closer
‫إيه ده؟‬,What?
‫إيه؟‬,What?
‫مسك على ورد بلدي.‬ ,"It's musk, rose, and orange blossom."
‫هي حاجات متتحطش‬ ‫على بعضها خالص. , Things that shouldn't be mixed.
‫أستغفر الله العظيم يا رب.,
‫فين الولية يا علا؟ ,"Where's the woman, Ola?"
خلينا نخلص ونمشي.‬,Let's find her and go.
‫ثانية واحدة طيب. بالراحة.‬,Just wait a minute.
‫لو سمحت إحنا بندور على أم سيد.‬,We're looking for Um Sayyed.
مامو؟,My mother?
‫لا، مامو تعيشوا إنتوا.‬,No. My mother passed away.
‫إيه ده! ,What? 
الله أكبر!‬,
‫إنّا لله وإنّا إليه راجعون.,I'm so sorry.
أنا مكنتش أعرف.‬,I had no idea.
‫الله يرحمها,May she rest in peace.
‫أنا مش عارفة هتفتكرني ولا لا؟ ,I'm not sure you'll remember me.
حضرتك سيد؟‬,Are you Sayyed?
‫لا، أنا منتصر.‬,"No, I'm Montasser."
‫منتصر، أوكي.‬,Montasser. Okay.
‫أهلًا بيك يا أستاذ منتصر. ,"Hello, Mr. Montasser."
أنا علا.‬,I'm Ola.
‫أنا كنت باجي زمان أخد منها ورد وياسمين‬‫ وروايح.‬,"I used to buy roses, jasmine, and perfumes from her."
‫غيرتي ريحتك؟‬,Have you changed your perfume?
‫أه، من ساعتها أه.‬,"Since then, yes."
‫يبقى أكيد مش هفتكرك.‬,Then I won't remember you.
‫بقولك إيه يا أستاذ… هو اسمه إيه؟‬,"Listen, Mr. ... What's his name?"
‫منتصر.‬,Montasser.
‫يا أستاذ منتصر أنت،‬ ‫عايزين نشتري عشان نمشي ونخلص، ممكن؟‬,"Mr. Montasser, we're here to buy and leave."
‫المحصول اللي إنتي شايفاه ده كله‬ ‫متباع من عشر سنين باليورو.‬,"The harvest you see was sold ten years ago, in Euros."
‫ونصيحة، غيّري البرفان بتاعك‬ ‫لأنه مضروب.‬,My advice to you is to change your perfume. It's fake.
‫هو مين ده اللي مضروب يلا؟‬,Who are you calling fake?
‫ده أنت قليل الأدب بقى.‬,You have no manners.
‫جدًا. ,
لا ميغركيش الشياكة. ,Don't let my looks fool you. 
ده أنا من زفتى.‬,I'm from Zefta.
‫على نفسك.‬,You don't scare me!
‫على نفسي! ,
‫بصي يا أستاذة، ‬حضراتكوا طبعًا تشرفوا في أي وقت‬ ‫لأنك من ريحة المرحومة.‬ ‫بس المحصول بتاعنا هنا اكسكلوسيف.‬,"Listen here, lady. You guys are welcome here anytime since you knew my mother, but the harvest here is exclusive."
‫فلو سمحتي،‬ ‫لو هتيجي هنا تاني إنتي أو الأستاذ، متجبوش الأستاذة معاكوا.‬,"So if you come here next time, you or the gentleman don't bring her along."
‫لا هو عايز يتضرب بس.‬,I have to hit him.
‫لو سمحتي سيبينا نتكلم معاه.‬,"Please, leave the talking to me."
‫روحي، روحي العربية،‬ ‫روحي، استنيني في العربية، يلا.‬,Go. Wait for me in the car!
‫معلش بجد يا أستاذ منتصر،‬ ‫بس أنا مش هلاقي مواد زي اللي عندكوا.‬,"Believe me, Mr. Montasser, I won't find flowers as good as yours. "
انا مش هلاقي ورد هنا. ,I can't find flowers.
أنا دورت في كل حتة‬ ‫قبل كدا، وعارفة الجودة اللي عندكوا.‬,I know that you have the best quality.
‫وأنا جيبالك على فكرة،‬ ‫علشان بجد نفسي نستفيد من خير بلدنا.‬ sample من الكريم اللي بعمله‬,I brought you a sample of the cream I'm making. I really want to promote local production.
‫ده محلي؟‬,Local?
‫أه، من مصر.‬,Egyptian.
‫كله محلي organic certified ‫زي برة بالظبط.‬,"It's local, organic, and made to international standards."
الملمس كويس.‬,Good texture.
الخامة جيد.‬,Good consistency.
أوكيه,Okay.
‫والعلب رخيصة أوي.‬,Packaging is cheap.
‫لسه,We're still
‫والله هو أنا أتمنى أساعدكم.‬,I wish I could help.
‫بس أنا مش صاحب المزرعة.‬,But I'm not the owner here.
‫نعم؟‬,What?
‫ماما باعت المزرعة من زمان.‬,Mother sold the farm long ago.
‫أنا موظف هنا.‬,I just work here.
‫موظف؟ ,
بتشتغل إيه هنا؟‬,What do you do here?
محاسب، حسابات. ,I'm the accountant. 
مؤقتًا.‬,It's temporary.
‫مؤقتًا ليه؟ ,Why temporary?
هتشتري المزرعة بعد كدا؟‬,Will you buy the farm?
‫لا، هكمل دراستي‬ ‫عشان هشتغل نيه.‬,No. I'll continue my studies to work as a nez.
‫إيه؟‬,What?
‫أنف، nose، مناخير،‬ ‫شمام. ,"Nez, nose. A sniffer."
أنا بس ناقصني الشهادة‬ ‫في غراس ‫المعهد العالي للعطور بـفرنسا.‬,I only need a degree from Grasse Ecole Superieure du Parfum in France.
‫صاحب المزرعة وعدني إن هو هيطلعلي الفيزا.‬,The farm owner promised he'd help me with the visa.
‫لا ربنا معاك. ,Good luck.
‫أنت أذكى من كدا بكتير يا منتصر.‬,"You're smarter than that, Montasser."
‫صاحب المزرعة عمره ما هيسيبك.‬,The farm owner will never let you go.
‫وعايزك تفضل هنا.‬,He'll keep you here.
‫طول ما أنت هنا هو بيحقق أرباح.‬,He's making a profit from you.
‫وأنت هتفضل عايش على أمل واحد بس.‬ ‫إن الفيزا تجيلك.‬,And you continue to live with one wish: to get a visa.
‫والأمل ده عمره ما هيتحقق.‬,A wish that will never come true.
‫إنتوا محتاجين قد إيه؟‬,I see. How much do you need?
‫لا، أنت قيمتك أكبر من كدا بكتير.‬,You're more than a seller to us.
‫أنا ممكن ألاقي suppliers ‫في كل حتة.‬,I can find suppliers everywhere.
‫أنا عندي ليك offer.‬,I have an offer for you.
‫هستنى تليفونك.‬,Call me.
‫ذكي أوي الباشمهندس.‬,This man is smart.
‫هي دي négociation.‬,That's how you negotiate.
‫مش بتاعت الكولونيا.‬,Unlike the one with the cheap perfume.
‫هتشاركيه.‬,He'll be your partner.
‫أشارك مين؟ ,Who? 
منتصر؟‬,Montasser?
‫نسرين على فكرة مش طايقة أمه!‬,Nesrine can't stand him.
‫مين نسرين؟‬,Who's Nesrine?
‫طب هنقولها إزاي دلوقتي؟‬,How do we tell her?
‫هنقولها؟‬,We?
‫هتقوليلها. ,You'll tell her.
أنا مالي، مش شغلتي.‬,It's not my problem.
‫اسمعي،‬ ‫إنتي عندك معادلة شبه مستحيلة.‬ ‫عايزة أجود الخامات بأقل تكلفة.‬,Listen. Your unique formula needs excellent raw materials at a low cost.
‫نعملها إزاي؟‬,How do we do that?
‫اقلعي النضارة.‬,Take off your sunglasses.
‫إيه؟‬,What?
‫وغمضي عنيكي.‬,And close your eyes.
اوكيه,Okay.
‫غمضي!‬,Close them.
‫عشرة في المية Sweat equity ‫وهيمسكلك الحسابات.‬,10% sweat equity. He'll handle your finances.
‫لازم نحتفل. ,We have to celebrate.
أنا عازمك. ,I'm taking you out! 
ولوحدك.‬,Alone!
‫سخن ساقع، ساقع سخن. ,"Hot, cold, hot again!"
أنا كدا هعّيا.‬,I'll catch a cold!
‫ماما، إنتي بتعملي إيه يا حبيبتي؟‬,"What are you doing, Mom?"
‫ماما! ماما!‬,Mom!
‫طنط سهير إزيك؟‬,"Hello, Aunt Soheir."
‫إزيك يا حبيبي؟‬,How are you?
‫في حاجة ولا إيه؟‬,Is something wrong?
‫لا لا خالص.‬,No.
‫أهلًا أهلًا.‬,Welcome.
‫وحشتني بقى، قولت أشوفك معاهم.‬,"I missed you, so I came to see you."
‫شرفتيني.‬,Welcome.
‫إزيك؟ ,How are you?
مبروك. ,Congratulations. 
حلو أوي.‬,Nice Place!
‫والله هو مش ذوقي ده ذوق مهندس الديكور.‬,The interior designer did this.
‫بابا هو فين الكورة؟ ,Where's the ball?
عايز ألعب دلوقتي.‬,I want to play.
‫بعدين يا حبيبي. بعدين.‬,"Later, buddy."
‫إيه ده! ,
ده في جنينة.‬,You have a garden.
‫مهندس ديكور. ,An interior designer. 
والله حلو.‬,Nice.
‫فاكرة يا علا لما لسانك دلدل‬ ‫عشان تجيبوا نقاش‬ ‫بشوفلكوا البياض بتاع الصالة.‬,"Remember when you begged him to hire a painter for the living room, Ola?"
‫فاكرة طبعًا.‬,I do remember.
‫ساعتها كان بيوفر. ,He was saving money then.
إنما دلوقتي يوفر ليه؟ ‬‫,Why save now?
مصروفه قل النص مثلًا؟‬,Did he cut his expenses in half?
‫لا، حلو أوي ما شاء الله.‬,It's very beautiful.
‫اقعدي يا حبيبتي.‬,
‫نضيف والله مفهوش تراب.,It's clean with no dust.
برافو عليك.‬,Well done.
‫طيب ما تيجي أوريكي أوضتك؟‬,Let me show you your room.
‫يلا يلا.‬,Come.
‫الله أوضة جديدة!‬,"A new room, yay!"
‫بقولك إيه.‬,Tell you what.
‫أنا هقوم أدعبس.‬,I'll snoop around.
‫لا، ماما.‬,"Don't, Mom."
‫إيه؟‬,What?
‫لا عيب.‬,You can't.
‫ماما!‬,Mom!
‫إوعي إنتي بقى. ,Let go of me!
أنا هروح أشوف. الله.‬,I'll check the place.
‫عيب!‬,You shouldn't.
‫ياختي بتفرج. ,
عيب واللي هو عمله مش عيب؟‬,And he shouldn't have left you.
‫على رأيك.‬,You're right.
‫بيت نضيف فعلًا.‬,A clean house indeed.
‫أكيد يعني مفيش حد هينسى‬ ‫إن بنته بتحب مسرحية‬ ‫اسمها البؤساء، مش كدا؟‬,How can I forget that my daughter loves Les Miserables?
‫إنتي هتفضلي زعلانة مني لغاية إمتى؟‬,When will you stop being mad at me?
‫أنا مش زعلانة منك كأب.‬ ‫أنا زعلانة منك كراجل إتجوز ست‬ ‫وخلف منها ولما زهق منها رماها.‬,"I'm not mad at you as a father, but as a husband who had kids and once bored, he got rid of his wife."
‫يرضيك لما أكبر جوزي يعمل‬ ‫اللي أنت عملته ده؟‬,Will you let my husband do that to me?
‫لا طبعًا ميرضنيش.‬,"Of course, I won't."
‫بس اقعدي عايز أقولك على حاجة. ‬,Let me tell you something.
‫إنتي لسه صغيرة على الكلام‬ ‫اللي إنتي بتقوليهولي ده.‬,You're too young to say those words.
‫ولما تكبري هتعرفي إن الموضوع معقد‬ ‫أكتر من كدا شويتين.‬,"When you get older, you'll know things are more complicated."
‫أنا متغيرتش في أي حاجة.‬,I haven't changed.
‫يمكن غيرت شوية تفاصيل‬ ‫في حياتي، لكن أنا لا.‬,"Maybe some minor details, but I'm still the same."
‫وأكتر حاجة بصراحة مش عايزها تتغير‬ ‫هي علاقتي بيكي إنتي وأخوكي.‬,And I don't want my relationship with my kids to ever change.
‫خليكي فاكرة ده كويس.‬,Remember that.
‫خدي وقتك.‬,Take your time.
‫وأنا مستنيكي.‬,I'll be waiting.
‫هشام!‬,Hisham.
‫دي جايبها علشاني ,It's for me.
وسليم ممكن يلعب بيها‬ ‫في الweekend لما يجيلي‬ ‫بس.,Salim can play with it during the weekend.
ساعة ولا ساعتين في الأسبوع‬‫ مش مشكلة يعني، إيه اللي هيحصل؟‬,An hour or two on the weekend is not a problem.
‫أه، في الweekend.‬,On weekends.
‫نادية يا حبيبتي، ممكن تشوفي سليم فين؟‬,"Nadia, can you check on Salim?"
‫إيه؟‬,What?
‫وزعت أنت الأدوار كدا تمام.‬ ‫ها مبسوط؟ ,Are you happy with the roles you've cast?
‫وأنا أمنا الغولة بتاعة وسط الأسبوع‬ ‫بتاعة الhomework وناموا بدري.‬fun cool dad بتاع الweekendأنت بقى ,"You're the fun, cool dad of the weekends. And I'm the mean mom who sets house rules."
‫اقعد أنت ألعب، وأنا أصلح اللي أنت بتبوظه.‬,"You have your fun, and I fix the damage you cause."
‫صالحيني على نادية، حاضر.‬ ‫,"Talk to Nadia, yes. "
ركزي مع سليم، اوكيه.‬,"Pay attention to Salim, okay."
‫ده غير الشغل اللي أنا مش عارفة أركز فيه. ‫وأنت جايبلي بلاي ستيشن.‬,"Not to mention my workload, and you got a PlayStation."
‫قولتلك مية مرة قبل كدا،‬ ‫لو عايزة حد يساعدك أجيبهولك.‬,I told you I could get you someone to help you.
‫عايزة فلوس زيادة أديهالك.‬,I can give you more money.
‫أنا مش هشم على ضهر إيدي.‬,I'm not a psychic.
‫لما تتطلبي، هعملك اللي إنتي عايزاه.‬,"Ask for what you need, and I'll get it."
‫الله! ,
وليه حد يساعدها؟ ,Why get her help?
أومال أنا روحت فين؟‬,I'm right here.
‫أصل أنا بصراحة كمان،‬ ‫مش عاجبني أوي موضوع الشغل ده.‬,"To be honest, I'm not happy with her working."
‫وليه يا حبيبتي؟‬ ,Why dear?
‫ليه تخشي في مشاريع‬ ‫مش مضمونة خالص كدا يا علا؟‬,Why start a project with no guarantees?
‫قررتولي إنتوا ها؟‬,You both decided for me?
‫قررتوا إن أنا المشروع مش مضمون‬ ‫وإن انا مش المفروض أشتغل؟‬,"The project isn't safe, and I'm not supposed to work."
‫اعملوا إنتوا كل اللي إنتوا عايزينه،‬ ‫عيشوا على مزاجكم.‬ ,Both do your thing and live as you please. 
بس لما بتيجي عليا أنا،‬ ‫لا لازم تقف.‬,"When it comes to me, life stops."
‫أنا بقى مشروعي هينجح،‬ ‫مشروعي هينجح يا ماما. ,My project will work.
عارفين ليه؟‬,Do you know why?
‫عشان أنا عنقاء.‬,Because I'm a phoenix.
‫أيوة. ,
عشان أنا الصوت اللي هنا…‬,Because my inner voice
‫إيش عرّفكوا إنتوا؟‬,You wouldn't know about that.
‫الصوت اللي هنا بيقولي إن أنا هنجح.‬,My inner voice says I'll make it.
‫أنا هنجح!‬,I'll make it.
‫يلا يا ماما! ,"Let's go, Mom!"
ألف ألف مبروك.‬,Congratulations.
‫خلينا في المهم. ,
هنسمي المشروع إيه؟‬,What will we name the business?
‫بقولك الست جالها التهاب في وشها وجرّستني.‬,"The poor woman's face was swollen, and she made a huge scene about it."
‫هنسمي المشروع إيه يعني؟‬,What will we name it?
‫نسميه إيه؟ على اسم‬ ‫إله الالتهابات عند الفراعنة؟‬,How about the Egyptian God of allergies?
‫أو إله المتطلقين.‬,Or the God of the divorced.
‫أنا أصلًا مش عارفة. ,I don't know.
‫مش عارفة إذا كنت عايزة أكمل‬ ‫في المشروع ده ولا لأ؟‬,I'm not sure if I should continue with the business.
‫أنا مش عايزة ولادي بس‬ ‫يتعودوا على إني مش موجودة، لا.‬,I don't want my kids to get used to my absence.
‫صح، إنتي عندك حق.‬,You're right.
‫أنا شايفة إن إنتي تقعدي تعيطي على هشام ‫والقرشين اللي بيرميهوملك كل أول شهر‬ ‫تاخديهم تصرفيهم على أدوية الاكتئاب.‬,You keep crying over Hisham and use the monthly allowance to buy antidepressants.
‫ساعتها عيالك هيبقوا فخورين بيكي جدًا‬ ‫وسعدا يعني، مش كدا صح؟‬,"Your kids will be proud of you and very happy, right?"
‫يا فرحة طارق ذهني بيكي.,Tarek Zohni will be thrilled!
‫إنتي وصمة عار في مسيرته المهنية يا بنتي.‬,You'll be a stain on his career.
‫دمرتي الراجل.‬,You'll destroy the guy.
‫بقولك إيه بمناسبة طارق ذهني.‬,Speaking of Tarek Zohni.
‫طب امسكي كدا.‬,Hold this.
‫أنا محتاجة تفهميني، بجد.‬,I need you to help me understand.
‫دلوقتي بيقولي عازمني ومفاجأة. ‫وعاملي مش عارفة إيه عشان نحتفل.,He's taking me out. It's a surprise to celebrate.
‫هو ده طبيعي؟‬,Is that normal?
‫هو ده طبيعي عندكوا؟‬,Is it normal?
‫يعني هو أنا لو اسمي محمد‬ ‫وهو بيعملي تدريب، ‫هيعزمني؟ هيعملي مفاجأة؟‬,"If I were a guy and he was coaching me, would he take me out and surprise me?"
‫هيعملي إيه؟ ,
مش فاهمة.‬,I don't get it.
‫هو إنتي مكبرة الموضوع ليه؟‬,Why overthink it?
‫ما تسأليه على طول.‬,Just ask him.
‫أسأله إيه يا مجنونة؟ ,Ask him about what? Are you nuts?
أسأله إيه؟‬,
‫وافرضي قالي أه؟‬,What if he says yes?
‫تدوسي. ,Go for it.
إيه المشكلة يعني؟‬,Not a big deal.
‫أدوس؟‬,What?
‫أدوس إزاي يا بنتي؟ ,Are you crazy?
عدتي لسه مخلصتش.‬,I'm newly divorced.
‫قال أدوس قال.‬,I can't do it.
‫أنا بس تعبت، تعبت من التخمين طول الوقت.‬,I'm so tired of guessing.
‫كل جملة والتانية لازم أقعد:‬ ‫هو قصده إيه؟ هو قصده إيه؟‬,Constantly guessing his intentions.
‫مش قادرة. ,I can't. 
خلاص.‬,That's it.
‫لا يا شيخة ده الجواز أريح بكتير.,Marriage is way easier.
‫أهو على الأقل تأبيدة، مفهومة، معروفة.‬,At least you know what to expect.
‫مش فاهمة إنتوا مستحملين الكلام ده إزاي؟‬,How can you handle this way of life?
‫مستحملة الكلام ده إزاي؟‬,
‫لا بقولك إيه، ده أحلى حاجة وألذ حاجة‬ ‫في الموضوع ده الsuspense.,"I love it, believe me. I also love the suspense."
‫شطة.‬,Spicy.
‫نسرين؟‬,Nesrine?
‫إيه يا روحي؟‬,"Yes, dear?"
‫أنا كنت عايزة أقولك على حاجة‬ ‫بس وأنا خايفة منك شوية.‬,"I have to tell you something, but I'm a bit scared."
‫ليه ما تقولي؟‬,Tell me.
‫وأنا من إمتى خوفتك يعني؟‬,When did I scare you?
‫فاكرة منتصر؟‬,Remember Montasser?
‫ماله؟ ماله؟‬,What's with him?
‫هو كلم طارق، وقاله إنه هو وافق يشاركنا.‬,"He called Tarek, and he agreed to partner with us."
‫وافق؟‬,Agreed?
محتاجينه.‬,We need him.
‫هو مين ده اللي وافق؟ ,What do you mean?
وافق على إيه أصلًا؟‬,
‫هو مين اللي عرض عليه أصلًا؟‬,Who asked him to begin with?
‫أنا. ,I did. 
أنا وطارق.‬,Tarek and I.
‫محتاجينه.‬,We need him.
‫بجد.‬,Really.
‫على جثتي.‬,No way.
‫على جثتي يا علا. ,"Over my dead body, Ola."
أقسم بالله ما هيحصل.‬,It won't happen.
‫أنا عايزة آكل من غير حرقة دم.‬,I want to eat in peace.
‫اقفلي الموضوع ده خالص بقي‬ ‫عشان عايزة أطفح وأنا مبسوطة. ,Just drop it now. I want to eat in peace. 
كلي.‬,Eat!
‫تهتي؟‬,Lost your way?
‫لا، الGPS ‬‫جابني على هنا.‬,"No, the GPS got me here."
‫بس إحنا فين؟‬,Where are we?
‫طب هايل. ,Great!
إتفضلي.‬,Step out.
‫ده توت من الشجرة دي. ,I get the berries from this tree.
إتفضلي.‬,Here.
‫الشجرة دي؟‬,This tree.
ميرسي,Thanks.
‫هو إحنا… لا. ‬,
‫مرتاحة كدا؟‬,Are you comfortable?
ما تقلعي الجزمة. ‬,Take off your shoes.
‫أقلع بجد؟‬,Really?
‫أه طبعًا.‬,Yes.
‫معلش أصل مش متعودة. ,I'm not used to
بقالي ‫13 سنة مخرجتش. ,I haven't gone out in 13 years.
